PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,CollectionDate,SampleID,Contaminant,MRL,MethodID,AnalyticalResultsSign,AnalyticalResultValue(µg/L),SampleEventCode,MonitoringRequirement,Region
MI0000012,Ada Township,S,30001,Distribution System,SW,DS1,120 Alta Dale,DS,6/3/2019,512505P,HAA5,,EPA 552.3,=,42.474,SEH2,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS1,120 Alta Dale,DS,6/3/2019,512505P,HAA6Br,,EPA 552.3,=,15.693,SEH2,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS1,120 Alta Dale,DS,6/3/2019,512505P,HAA9,,EPA 552.3,=,56.668,SEH2,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS2,6990 East Fulton,DS,3/5/2019,510902P,HAA5,,EPA 552.3,=,34.4365,SEH1,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS2,6990 East Fulton,DS,3/5/2019,510902P,HAA6Br,,EPA 552.3,=,15.486,SEH1,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS2,6990 East Fulton,DS,3/5/2019,510902P,HAA9,,EPA 552.3,=,48.6995,SEH1,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS2,6990 East Fulton,DS,6/3/2019,512506P,HAA5,,EPA 552.3,=,41.627,SEH2,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS2,6990 East Fulton,DS,6/3/2019,512506P,HAA6Br,,EPA 552.3,=,15.313,SEH2,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS2,6990 East Fulton,DS,6/3/2019,512506P,HAA9,,EPA 552.3,=,55.535,SEH2,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,7/24/2018,35406391002SEH1,HAA5,,EPA 552.3,=,18.88,SEH1,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,7/24/2018,35406391002SEH1,HAA6Br,,EPA 552.3,=,5.12,SEH1,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,7/24/2018,35406391002SEH1,HAA9,,EPA 552.3,=,23.32,SEH1,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,10/10/2018,A8J2112-01,HAA5,,EPA 552.3,=,12.07,SEH2,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,10/10/2018,A8J2112-01,HAA6Br,,EPA 552.3,=,7.97,SEH2,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,10/10/2018,A8J2112-01,HAA9,,EPA 552.3,=,19.47,SEH2,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,11/26/2018,35433128002SEH3,HAA5,,EPA 552.3,=,16.7,SEH3,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,11/26/2018,35433128002SEH3,HAA6Br,,EPA 552.3,=,8.2,SEH3,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,11/26/2018,35433128002SEH3,HAA9,,EPA 552.3,=,24.9,SEH3,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,3/4/2019,35451655002SEH4,HAA5,,EPA 552.3,=,11.1,SEH4,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,3/4/2019,35451655002SEH4,HAA6Br,,EPA 552.3,=,7.38,SEH4,AM,5
MI0000130,Allen Park,L,4896,Distribution System,SW,DBP1,333 Republic,DS,3/4/2019,35451655002SEH4,HAA9,,EPA 552.3,=,17.48,SEH4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,alpha-hexachlorocyclohexane,0.01,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,chlorpyrifos,0.03,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,dimethipin,0.2,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,ethoprop,0.03,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,germanium,0.3,EPA 200.8,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,manganese,0.4,EPA 200.8,=,3.7,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,oxyfluorfen,0.05,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,profenofos,0.3,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,tebuconazole,0.2,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,total permethrin,0.04,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,35406391001SEA1,tribufos,0.07,EPA 525.3,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,A8G3654-01,1-butanol,2,EPA 541,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,A8G3654-01,2-methoxyethanol,0.4,EPA 541,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,A8G3654-01,2-propen-1-ol,0.5,EPA 541,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,A8G3654-01,butylated hydroxyanisole,0.03,EPA 530,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,A8G3654-01,o-toluidine,0.007,EPA 530,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,7/24/2018,A8G3654-01,quinoline,0.02,EPA 530,<,,SEA1,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,1-butanol,2,EPA 541,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,2-methoxyethanol,0.4,EPA 541,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,2-propen-1-ol,0.5,EPA 541,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,alpha-hexachlorocyclohexane,0.01,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,chlorpyrifos,0.03,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,dimethipin,0.2,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,ethoprop,0.03,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,germanium,0.3,EPA 200.8,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,manganese,0.4,EPA 200.8,=,1.3,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,oxyfluorfen,0.05,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,profenofos,0.3,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,tebuconazole,0.2,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,total permethrin,0.04,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,10/10/2018,35423658001SEA2,tribufos,0.07,EPA 525.3,<,,SEA2,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,1-butanol,2,EPA 541,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,2-methoxyethanol,0.4,EPA 541,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,2-propen-1-ol,0.5,EPA 541,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,alpha-hexachlorocyclohexane,0.01,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,chlorpyrifos,0.03,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,dimethipin,0.2,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,ethoprop,0.03,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,germanium,0.3,EPA 200.8,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,manganese,0.4,EPA 200.8,=,1.1,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,oxyfluorfen,0.05,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,profenofos,0.3,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,tebuconazole,0.2,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,total permethrin,0.04,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,35433128001SEA3,tribufos,0.07,EPA 525.3,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,A8K3241-01,butylated hydroxyanisole,0.03,EPA 530,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,A8K3241-01,o-toluidine,0.007,EPA 530,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,11/26/2018,A8K3241-01,quinoline,0.02,EPA 530,<,,SEA3,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,1-butanol,2,EPA 541,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,2-methoxyethanol,0.4,EPA 541,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,2-propen-1-ol,0.5,EPA 541,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,alpha-hexachlorocyclohexane,0.01,EPA 525.3,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,butylated hydroxyanisole,0.03,EPA 530,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,chlorpyrifos,0.03,EPA 525.3,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,dimethipin,0.2,EPA 525.3,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,ethoprop,0.03,EPA 525.3,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,germanium,0.3,EPA 200.8,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,manganese,0.4,EPA 200.8,=,1.5,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,o-toluidine,0.007,EPA 530,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,oxyfluorfen,0.05,EPA 525.3,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,profenofos,0.3,EPA 525.3,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,quinoline,0.02,EPA 530,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,tebuconazole,0.2,EPA 525.3,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,total permethrin,0.04,EPA 525.3,<,,SEA4,AM,5
MI0000130,Allen Park,L,10897,Detroit Connection,SW,CC002,Primary Connection,EP,3/4/2019,35451655001SEA4,tribufos,0.07,EPA 525.3,<,,SEA4,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,4/9/2019,711278P,anatoxin-a,0.03,EPA 545,<,,SEC1,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,4/9/2019,711278P,cylindrospermopsin,0.09,EPA 545,<,,SEC1,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,4/9/2019,711278P,total microcystin,0.3,EPA 546,<,,SEC1,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,4/23/2019,711279P,anatoxin-a,0.03,EPA 545,<,,SEC2,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,4/23/2019,711279P,cylindrospermopsin,0.09,EPA 545,<,,SEC2,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,4/23/2019,711279P,total microcystin,0.3,EPA 546,<,,SEC2,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,5/14/2019,711836P,anatoxin-a,0.03,EPA 545,<,,SEC3,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,5/14/2019,711836P,cylindrospermopsin,0.09,EPA 545,<,,SEC3,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,5/14/2019,711836P,total microcystin,0.3,EPA 546,<,,SEC3,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,5/28/2019,711837P,anatoxin-a,0.03,EPA 545,<,,SEC4,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,5/28/2019,711837P,cylindrospermopsin,0.09,EPA 545,<,,SEC4,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,5/28/2019,711837P,total microcystin,0.3,EPA 546,<,,SEC4,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,6/10/2019,712507P,anatoxin-a,0.03,EPA 545,<,,SEC5,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,6/10/2019,712507P,cylindrospermopsin,0.09,EPA 545,<,,SEC5,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,6/10/2019,712507P,total microcystin,0.3,EPA 546,<,,SEC5,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,6/24/2019,712508P,anatoxin-a,0.03,EPA 545,<,,SEC6,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,6/24/2019,712508P,cylindrospermopsin,0.09,EPA 545,<,,SEC6,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,6/24/2019,712508P,total microcystin,0.3,EPA 546,<,,SEC6,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,7/15/2019,713250P,anatoxin-a,0.03,EPA 545,<,,SEC7,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,7/15/2019,713250P,cylindrospermopsin,0.09,EPA 545,<,,SEC7,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,7/15/2019,713250P,total microcystin,0.3,EPA 546,<,,SEC7,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,7/30/2019,713251P,anatoxin-a,0.03,EPA 545,<,,SEC8,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,7/30/2019,713251P,cylindrospermopsin,0.09,EPA 545,<,,SEC8,AM,5
MI0000140,City of Alma,S,20001,Treatment Plant,MX,EP1,Plant Tap - Post Treatment,EP,7/30/2019,713251P,total microcystin,0.3,EPA 546,<,,SEC8,AM,5
MI0000160,City of Alpena,L,4711,Distribution System,SW,DBP1,335 W. Alfred St.,DS,8/13/2019,1140650,HAA5,,EPA 552.3,=,11.294,SEH1,AM,5
MI0000160,City of Alpena,L,4711,Distribution System,SW,DBP1,335 W. Alfred St.,DS,8/13/2019,1140650,HAA6Br,,EPA 552.3,=,2.885,SEH1,AM,5
MI0000160,City of Alpena,L,4711,Distribution System,SW,DBP1,335 W. Alfred St.,DS,8/13/2019,1140650,HAA9,,EPA 552.3,=,14.179,SEH1,AM,5
MI0000160,City of Alpena,L,4711,Distribution System,SW,DPD2,398 Wilson St,DS,8/13/2019,1140651,HAA5,,EPA 552.3,=,9.495,SEH1,AM,5
MI0000160,City of Alpena,L,4711,Distribution System,SW,DPD2,398 Wilson St,DS,8/13/2019,1140651,HAA6Br,,EPA 552.3,=,2.93,SEH1,AM,5
MI0000160,City of Alpena,L,4711,Distribution System,SW,DPD2,398 Wilson St,DS,8/13/2019,1140651,HAA9,,EPA 552.3,=,12.425,SEH1,AM,5
MI0000160,City of Alpena,L,6434,Treatment Plant,SW,TP100,Treatment Plant Tap,EP,8/13/2019,1140648,1-butanol,2,EPA 541,<,,SEA1,AM,5
MI0000160,City of Alpena,L,6434,Treatment Plant,SW,TP100,Treatment Plant Tap,EP,8/13/2019,1140648,2-methoxyethanol,0.4,EPA 541,<,,SEA1,AM,5
MI0000160,City of Alpena,L,6434,Treatment Plant,SW,TP100,Treatment Plant Tap,EP,8/13/2019,1140648,2-propen-1-ol,0.5,EPA 541,<,,SEA1,AM,5
